followers_count,user_key,description
304,RobbyDelaware,"I support the free movement of people, ideas and capital."
1053,SCOTTGOHARD,"CELEBRITY TRAINER ✨#424W147th✨ #CrossfitCoach #NSCA #IRepresentIntellectualViolence...Robinson Cano,Ice T,Missy Elliott, #EaglesDontFlyInFlocks..."
650,Beckster319,Rebecca Lynn Hirschfeld Actress.Model.Writer.Amateur Race Car Driver. ~ Adorkable
44,skatewake1994,
94773,KadirovRussia,"Пародийный аккаунт. Озвучиваю то, что политикам не позволено протоколом"
23305,MargoSavazh,Честь имею. Нагло врать не умею.
22,darknally,uptodate news!!!!
3080,lagonehoe,How can you judge me when you don’t know me?
2760,YouJustCtrlC,ProBlack | Stoner | even jesus was stoned before receiving the throne | #BlackToLive | #BlackLivesMatter
879,MrMoraan,I'm getting too cool for this social media shiz. That cynical bastard you hate to love.
789,NoJonathonNo,Strive not to be a success but rather to be of value #blm #BforLife
1956,CharlesJHarper,if you don't like me-it's ok
1795,PrettyLaraPlace,Bitter Clinger #USAFVet #NRA #2A #bluestarmom #Crossfit #christian
728,BigBoyJasiah,Visionary..... don't put me in a box.... Enigma... Unconditional Love. I'm the good guy. if u heard otherwise you been lied to
837,Jery_RobertsYo,I think we can all agree that the 3 most powerful words of 2015 were “#BlackLivesMatter”
738,LILJordamn,young nigga just trying to make# also do music#
908,PaulineTT,"I be trying to chill, I swear do, because I luh God. You'on luh God?
#NoChill #BlackLivesMatter"
877,RamonasNails,"Mom, Global Nail Artist, Consultant, blah,blah, I do more than paint a nail"
1565,JeffreyKahunas,"Honor God & Jesus & Your Parents Country, GOP, I Follow Back #tcot #RedNationRising #InGodWeTrust"
674,JassScott,"Bring the drama, playa. Give me all you got. Make your move. Shoot your best shot
#BLM Bitch"
2854,CannonSher,Education costs money.  But then so does ignorance.
2121,cassishere,Fun-loving conservative sharing the truth that liberals can't handle. #TCOT
2291,CarrieThornthon,Conservative Christian Momma. Political junkie. Happily married
853,ImaPharrelFake,"Here to state my point of view, make you laugh and most importanly to stand up for and represent my people #BlackLivesMatter"
