,screen_name,n,party 
1,aguilarpete,1448,Democrat
2,amyklobuchar,3222,Democrat
3,AustinScottGA08,2398,Republican
4,BennieGThompson,1337,Democrat
5,BettyMcCollum04,3222,Democrat
6,BillCassidy,3196,Republican
7,BillPascrell,2806,Democrat
8,BobbyScott,3197,Democrat
9,boblatta,3207,Republican
10,BradSherman,2890,Democrat
11,brianschatz,3207,Democrat
12,Call_Me_Dutch,2904,Democrat
13,cathymcmorris,3213,Republican
14,chelliepingree,3203,Democrat
15,ChrisCoons,3224,Democrat
16,ChrisMurphyCT,3214,Democrat
17,ChrisVanHollen,3228,Democrat
18,ChuckGrassley,3249,Republican
19,clairecmc,3233,Democrat
20,Clyburn,2003,Democrat
21,ConawayTX11,771,Republican
22,congbillposey,2510,Republican
23,CongBoyle,2463,Democrat
24,CongCulberson,5450,Republican
25,CongMikeSimpson,575,Republican
26,CongPalazzo,2543,Republican
27,CongressmanGT,3223,Republican
28,CongressmanHice,1983,Republican
29,CongressmanRaja,2373,Democrat
30,CongressmanRuiz,957,Democrat
31,CoryBooker,3206,Democrat
32,DanaRohrabacher,3224,Republican
33,dandonovan_ny,877,Republican
34,DarrellIssa,3223,Republican
35,daveloebsack,941,Democrat
36,davereichert,3202,Republican
37,davidcicilline,3238,Democrat
38,DesJarlaisTN04,3212,Republican
39,DevinNunes,3736,Republican
40,dinatitus,3205,Democrat
41,DonaldNorcross,3193,Democrat
42,DorisMatsui,5422,Democrat
43,DougLaMalfa,3152,Republican
44,DrNealDunnFL2,767,Republican
45,DrPhilRoe,800,Republican
46,DWStweets,3201,Democrat
47,EleanorNorton,6462,Democrat
48,farenthold,3231,Republican
49,FrankDLucas,240,Republican
50,FrankPallone,6420,Democrat
51,GerryConnolly,3197,Democrat
52,GKButterfield,3237,Democrat
53,GOPLeader,3240,Republican
54,gracenapolitano,2036,Democrat
55,GrahamBlog,3247,Republican
56,GreggHarper,6394,Republican
57,HerreraBeutler,725,Republican
58,HurdOnTheHill,3223,Republican
59,InhofePress,3230,Republican
60,JacksonLeeTX18,3202,Democrat
61,jahimes,6370,Democrat
62,janschakowsky,6450,Democrat
63,JaredHuffman,3235,Democrat
64,jaredpolis,3195,Democrat
65,JeffFlake,2642,Republican
66,JeffFortenberry,3006,Republican
67,JerryMoran,3215,Republican
68,Jim_Jordan,2415,Republican
69,JimInhofe,1363,Republican
70,JimLangevin,3212,Democrat
71,JimPressOffice,1253,Others 
72,JoaquinCastrotx,3190,Democrat
73,JohnBoozman,3231,Republican
74,JohnCornyn,3228,Republican
75,johnculberson,3249,Republican
76,JudgeCarter,3221,Republican
77,JudgeTedPoe,3244,Republican
78,JuliaBrownley26,2930,Democrat
79,justinamash,3233,Republican
80,keithellison,3221,Democrat
81,KeithRothfus,3212,Republican
82,KenCalvert,3215,Republican
83,KYComer,3149,Republican
84,LacyClayMO1,3202,Democrat
85,LamarSmithTX21,3227,Republican
86,LindseyGrahamSC,3218,Republican
87,lisamurkowski,3202,Republican
88,louiseslaughter,3214,Democrat
89,MacTXPress,1077,Republican
90,marcorubio,3204,Republican
91,MarioDB,6420,Democrat
92,MarkAmodeiNV2,1172,Republican
93,MarkPocan,1535,Democrat
94,MarkWarner,3569,Democrat
95,MarshaBlackburn,3209,Republican
96,MartinHeinrich,3200,Democrat
97,maziehirono,3209,Democrat
98,McConnellPress,3245,Republican
99,michaelcburgess,3216,Republican
100,MikeCrapo,3227,Republican
101,MikeKellyPA,2169,Republican
102,NancyPelosi,3211,Democrat
103,nikiinthehouse,3214,Democrat
104,NitaLowey,2945,Democrat
105,NormaJTorres,3207,Democrat
106,NydiaVelazquez,3235,Democrat
107,OversightDems,6474,Democrat
108,PatrickMcHenry,5194,Republican
109,PatTiberi,3158,Republican
110,PattyMurray,3199,Democrat
111,PeterRoskam,3201,Republican
112,PeterWelch,1851,Democrat
113,PeteSessions,6448,Republican
114,PrayerCaucus,2718,Others 
115,RandPaul,3220,Republican
116,Raul_Labrador,2129,Republican
117,Rep_Hunter,443,Republican
118,rep_stevewomack,3206,Republican
119,RepAbraham,525,Republican
120,RepAdams,3225,Democrat
121,RepAdamSchiff,6490,Democrat
122,RepAdamSmith,5566,Democrat
123,RepAdrianSmith,2980,Republican
124,RepAlexMooney,1427,Republican
125,RepAlGreen,1526,Democrat
126,RepAlLawsonJr,590,Democrat
127,RepAmata,330,Republican
128,RepAndreCarson,3215,Democrat
129,RepAndyBarr,2961,Republican
130,RepAndyBiggsAZ,2661,Republican
131,RepAndyHarrisMD,2824,Republican
132,RepAnnaEshoo,2029,Democrat
133,RepAnnieKuster,3241,Democrat
134,RepAnnWagner,2994,Republican
135,RepAnthonyBrown,1208,Democrat
136,RepArrington,735,Republican
137,RepBarbaraLee,200,Democrat
138,RepBarragan,1963,Democrat
139,RepBeatty,3214,Democrat
140,repbenraylujan,1679,Democrat
141,RepBera,3015,Democrat
142,RepBetoORourke,3187,Democrat
143,RepBillFlores,3241,Republican
144,RepBillFoster,2626,Democrat
145,RepBillJohnson,3247,Republican
146,RepBillShuster,3217,Republican
147,RepBlainePress,1685,Republican
148,repblumenauer,3147,Democrat
149,RepBobbyRush,1414,Democrat
150,RepBobGibbs,2972,Republican
151,RepBonamici,2758,Democrat
152,RepBonnie,3221,Democrat
153,RepBost,1274,Republican
154,RepBradWenstrup,3233,Republican
155,RepBrady,729,Republican
156,RepBrendanBoyle,3223,Democrat
157,RepBrianBabin,2412,Republican
158,RepBrianFitz,701,Republican
159,RepBrianHiggins,6484,Democrat
160,RepBrianMast,794,Republican
161,RepBRochester,383,Democrat
162,RepBuddyCarter,1393,Republican
163,RepByrne,3222,Democrat
164,RepCarbajal,869,Democrat
165,RepCardenas,3217,Democrat
166,RepCartwright,1915,Democrat
167,RepCharlieCrist,1434,Democrat
168,RepCharlieDent,2519,Republican
169,RepCheri,3230,Democrat
170,RepChrisCollins,3233,Republican
171,RepChrisSmith,1056,Democrat
172,RepChrisStewart,2851,Republican
173,RepChuck,1831,Republican
174,RepCicilline,3201,Democrat
175,RepClayHiggins,597,Republican
176,repcleaver,3204,Democrat
177,RepCohen,3203,Democrat
178,RepComstock,2961,Republican
179,RepCuellar,3214,Democrat
180,RepCummings,3232,Democrat
181,RepCurbelo,3207,Republican
182,RepDanKildee,3242,Democrat
183,RepDannyDavis,1331,Democrat
184,RepDarrenSoto,1447,Democrat
185,RepDaveBrat,1496,Republican
186,RepDaveJoyce,3243,Republican
187,repdavetrott,481,Republican
188,RepDavid,3238,Republican
189,RepDavidEPrice,3208,Democrat
190,RepDavidKustoff,577,Republican
191,RepDavidRouzer,603,Republican
192,repdavidscott,2657,Democrat
193,RepDavidValadao,957,Republican
194,RepDavidYoung,3227,Republican
195,RepDebDingell,2096,Republican
196,RepDelBene,3227,Democrat
197,RepDennisRoss,6390,Republican
198,RepDennyHeck,3230,Democrat
199,RepDerekKilmer,1901,Democrat
200,RepDeSantis,2331,Republican
201,RepDeSaulnier,2118,Democrat
202,RepDevinNunes,152,Republican
203,RepDianaDeGette,6444,Democrat
204,RepDianeBlack,3195,Republican
205,repdinatitus,3200,Democrat
206,RepDLamborn,3212,Republican
207,RepDonaldPayne,3244,Democrat
208,RepDonBacon,2830,Republican
