"","X1","screen_name","party","gender"
"1",1,"aguilarpete","Democrat","M"
"2",2,"amyklobuchar","Democrat","F"
"3",3,"AustinScottGA08","Republican","M"
"4",4,"BennieGThompson","Democrat","M"
"5",5,"BettyMcCollum04","Democrat","F"
"6",6,"BillCassidy","Republican","M"
"7",7,"BillPascrell","Democrat","M"
"8",8,"BobbyScott","Democrat","M"
"9",9,"boblatta","Republican","M"
"10",10,"BradSherman","Democrat","M"
"11",11,"brianschatz","Democrat","M"
"12",12,"Call_Me_Dutch","Democrat","M"
"13",13,"cathymcmorris","Republican","F"
"14",14,"chelliepingree","Democrat","F"
"15",15,"ChrisCoons","Democrat","M"
"16",16,"ChrisMurphyCT","Democrat","M"
"17",17,"ChrisVanHollen","Democrat","M"
"18",18,"ChuckGrassley","Republican","M"
"19",19,"clairecmc","Democrat","F"
"20",20,"Clyburn","Democrat","M"
"21",21,"ConawayTX11","Republican","M"
"22",22,"congbillposey","Republican","M"
"23",23,"CongBoyle","Democrat","M"
"24",24,"CongCulberson","Republican","M"
"25",25,"CongMikeSimpson","Republican","M"
"26",26,"CongPalazzo","Republican","M"
"27",27,"CongressmanGT","Republican","M"
"28",28,"CongressmanHice","Republican","M"
"29",29,"CongressmanRaja","Democrat","M"
"30",30,"CongressmanRuiz","Democrat","M"
"31",31,"CoryBooker","Democrat","M"
"32",32,"DanaRohrabacher","Republican","M"
"33",33,"dandonovan_ny","Republican","M"
"34",34,"DarrellIssa","Republican","M"
"35",35,"daveloebsack","Democrat","M"
"36",36,"davereichert","Republican","M"
"37",37,"davidcicilline","Democrat","M"
"38",38,"DesJarlaisTN04","Republican","M"
"39",39,"DevinNunes","Republican","M"
"40",40,"dinatitus","Democrat","F"
"41",41,"DonaldNorcross","Democrat","M"
"42",42,"DorisMatsui","Democrat","F"
"43",43,"DougLaMalfa","Republican","M"
"44",44,"DrNealDunnFL2","Republican","M"
"45",45,"DrPhilRoe","Republican","M"
"46",46,"DWStweets","Democrat","F"
"47",47,"EleanorNorton","Democrat","F"
"48",48,"farenthold","Republican","M"
"49",49,"FrankDLucas","Republican","M"
"50",50,"FrankPallone","Democrat","M"
"51",51,"GerryConnolly","Democrat","M"
"52",52,"GKButterfield","Democrat","M"
"53",53,"GOPLeader","Republican","M"
"54",54,"gracenapolitano","Democrat","F"
"55",55,"GrahamBlog","Republican","M"
"56",56,"GreggHarper","Republican","M"
"57",57,"HerreraBeutler","Republican","F"
"58",58,"HurdOnTheHill","Republican","M"
"59",59,"InhofePress","Republican","M"
"60",60,"JacksonLeeTX18","Democrat","F"
"61",61,"jahimes","Democrat","M"
"62",62,"janschakowsky","Democrat","F"
"63",63,"JaredHuffman","Democrat","M"
"64",64,"jaredpolis","Democrat","M"
