"","word","n"
"1","happy",18278
"2","holidays",17854
"3","christmas",2426
"4","merry",1347
"5","holiday",1266
"6","family",1262
"7","love",996
"8","time",764
"9","hope",703
"10","season",621
"11","team",621
"12","day",594
"13","friends",582
"14","closed",531
"15","enjoy",528
"16","december",486
"17","wishing",477
"18","january",448
"19","safe",399
"20","break",374
"21","gift",346
"22","people",318
"23","wonderful",305
"24","wishes",295
"25","office",279
"26","staff",263
"27","check",257
"28","support",252
"29","fun",251
"30","hours",245
"31","dec",243
"32","video",240
"33","guys",234
"34","amazing",232
"35","hey",231
"36","forward",218
"37","winter",212
"38","week",205
"39","awesome",196
"40","days",195
"41","beautiful",191
"42","jan",189
"43","families",181
"44","monday",177
"45","home",176
"46","special",176
"47","students",173
"48","dear",167
"49","free",167
"50","mike",165
"51","school",159
"52","card",157
"53","santa",155
"54","call",153
"55","celebrate",153
"56","stay",152
"57","nice",150
"58","party",148
"59","life",144
"60","win",143
"61","loved",142
"62","friday",138
"63","lol",138
"64","friend",136
"65","giving",135
"66","community",131
"67","wait",131
"68","care",129
"69","world",129
"70","don",128
"71","list",127
"72","healthy",126
"73","2nd",123
"74","favorite",122
"75","miss",122
"76","feel",120
"77","filled",120
"78","kids",120
"79","music",119
"80","god",116
"81","sharing",116
"82","cheer",115
"83","coming",114
"84","twitter",114
"85","share",113
"86","annual",111
"87","joy",110
"88","giveaway",106
"89","fan",105
"90","glad",105
"91","night",105
"92","business",103
"93","hard",103
"94","remember",103
"95","taking",103
"96","gifts",102
"97","health",102
"98","tomorrow",100
"99","news",99
"100","spirit",99
"101","ho",98
"102","offices",98
"103","live",97
"104","note",97
"105","rest",97
"106","read",96
"107","ll",95
"108","link",94
"109","close",93
"110","enter",93
"111","tuesday",92
"112","visit",92
"113","watch",92
"114","xmas",92
"115","media",91
"116","peace",91
"117","reminder",91
"118","reopen",91
"119","1st",90
"120","art",90
"121","congrats",90
"122","festive",90
"123","lot",90
"124","chance",89
"125","luck",89
"126","email",88
"127","wednesday",88
"128","25th",87
"129","city",87
"130","eve",87
"131","warm",87
"132","hear",86
"133","house",86
"134","class",83
"135","post",83
"136","ve",83
"137","social",82
"138","celebrating",80
"139","lovely",80
"140","stop",80
"141","tree",80
"142","america",79
"143","book",79
"144","bless",78
"145","center",78
"146","fine",78
"147","follow",78
"148","contest",77
"149","jersey",77
"150","ready",77
"151","start",77
"152","sweet",77
"153","bring",75
"154","fans",75
"155","message",75
"156","real",75
"157","excited",74
"158","children",73
"159","happiness",73
"160","minute",73
"161","service",73
"162","cheers",72
"163","job",72
"164","proud",72
"165","clients",71
"166","hanukkah",70
"167","join",70
"168","person",70
"169","shit",70
"170","spend",70
"171","congratulations",69
"172","customers",69
"173","song",69
"174","store",69
"175","times",69
"176","fantastic",68
"177","tax",68
"178","prosperous",67
"179","tips",67
"180","white",67
"181","newsletter",66
"182","college",65
"183","crew",65
"184","forget",65
"185","game",65
"186","success",65
"187","blessed",64
"188","send",64
"189","entire",63
"190","la",63
"191","trump",63
"192","code",62
"193","dance",62
"194","fuck",62
"195","partners",62
"196","photo",62
"197","play",62
"198","listen",61
"199","makes",61
"200","true",61
"201","ya",61
"202","26th",60
"203","cards",60
"204","de",60
"205","update",60
"206","continue",59
"207","food",59
"208","mom",59
"209","money",59
"210","past",59
"211","return",59
"212","y'all",59
"213","grateful",58
"214","story",58
"215","tonight",58
"216","heart",57
"217","sale",57
"218","services",57
"219","words",57
"220","22nd",56
"221","lots",56
"222","morning",56
"223","weeks",56
"224","club",55
"225","fam",55
"226","followers",55
"227","shopping",55
"228","sir",55
"229","thursday",55
"230","yeah",55
"231","top",54
"232","blog",53
"233","gonna",53
"234","hit",53
"235","huge",53
"236","sweater",53
"237","tweet",53
"238","basket",52
"239","left",52
"240","perfect",52
"241","saturday",52
"242","sending",52
"243","bad",51
"244","birthday",51
"245","guy",51
"246","pm",51
"247","travels",51
"248","wow",51
"249","dinner",50
"250","entered",50
"251","folks",50
"252","online",50
"253","21st",49
"254","american",49
"255","customer",49
"256","feeling",49
"257","final",49
"258","3rd",48
"259","click",48
"260","country",48
"261","employees",48
"262","nintendo",48
"263","playing",48
"264","pleasure",48
"265","snow",48
"266","super",48
"267","books",47
"268","chat",47
"269","cookies",47
"270","resume",47
"271","shop",47
