"","word","n"
"1","christmas",13261
"2","merry",12303
"3","happy",1779
"4","family",703
"5","love",640
"6","hope",516
"7","holidays",482
"8","god",410
"9","wishing",405
"10","time",399
"11","day",333
"12","bless",310
"13","holiday",288
"14","president",273
"15","people",268
"16","team",258
"17","friends",257
"18","season",253
"19","enjoy",249
"20","america",231
"21","tax",226
"22","friend",220
"23","trump",219
"24","wonderful",204
"25","video",190
"26","staff",181
"27","january",167
"28","guys",165
"29","beautiful",160
"30","gift",160
"31","support",151
"32","closed",148
"33","wishes",147
"34","forward",144
"35","safe",142
"36","lovely",141
"37","december",139
"38","donald",139
"39","lil",135
"40","vladimir",131
"41","amazing",130
"42","santa",127
"43","break",126
"44","mama",126
"45","fun",123
"46","bill",119
"47","days",114
"48","festive",113
"49","prosperous",110
"50","nice",109
"51","lol",104
"52","miss",103
"53","sa",103
"54","customers",101
"55","ho",101
"56","school",101
"57","awesome",100
"58","na",100
"59","fucking",98
"60","xx",96
"61","check",95
"62","advance",94
"63","don",94
"64","hard",94
"65","blessed",93
"66","music",92
"67","fantastic",91
"68","office",91
"69","families",90
"70","house",90
"71","po",90
"72","ya",90
"73","week",89
"74","chance",87
"75","life",87
"76","party",87
"77","song",87
"78","world",87
"79","stay",86
"80","card",85
"81","congratulations",85
"82","eve",85
"83","hey",85
"84","home",85
"85","morning",85
"86","money",84
"87","night",84
"88","xmas",81
"89","care",80
"90","news",80
"91","peace",80
"92","share",80
"93","free",77
"94","children",76
"95","class",76
"96","loved",76
"97","wait",76
"98","special",75
"99","dec",72
"100","american",71
"101","tree",71
"102","job",69
"103","americans",67
"104","friday",67
"105","glad",67
"106","hear",66
"107","kids",66
"108","twitter",66
"109","country",64
"110","gifts",64
"111","ko",64
"112","luck",64
"113","rich",64
"114","rest",62
"115","winning",62
"116","2nd",61
"117","cut",61
"118","joy",61
"119","proud",61
"120","read",61
"121","service",61
"122","true",61
"123","baby",60
"124","dear",60
"125","followers",60
"126","stop",60
"127","close",59
"128","playing",59
"129","term",59
"130","ve",59
"131","coming",58
"132","hours",58
"133","la",58
"134","y'all",58
"135","jesus",57
"136","lot",57
"137","hanukkah",56
"138","health",56
"139","wow",56
"140","sir",55
"141","cards",54
"142","favorite",54
"143","students",54
"144","blessings",53
"145","call",53
"146","celebrate",53
"147","feliz",53
"148","passed",53
"149","win",53
"150","clients",52
"151","gop",52
"152","heart",52
"153","jan",52
"154","listen",52
"155","pay",52
"156","feel",51
"157","person",51
"158","fans",50
"159","healthy",50
"160","play",50
"161","bring",49
"162","offices",49
"163","food",48
"164","ha",48
"165","taking",48
"166","times",48
"167","buy",47
"168","de",47
"169","hahaha",47
"170","huge",47
"171","birthday",46
"172","lang",46
"173","mo",46
"174","monday",46
"175","ng",46
"176","post",46
"177","tomorrow",46
"178","xxx",46
"179","community",45
"180","follow",45
"181","media",45
"182","middle",45
"183","remember",45
"184","sharing",45
"185","top",45
"186","business",44
"187","maga",44
"188","spirit",44
"189","cheers",43
"190","congrats",43
"191","left",43
"192","live",43
"193","ll",43
"194","tweet",43
"195","watch",43
"196","fuck",42
"197","john",42
"198","real",42
"199","wrapped",42
"200","yeah",42
"201","ass",41
"202","navidad",41
"203","online",41
"204","perfect",41
"205","ready",41
"206","bright",40
"207","finally",40
"208","send",40
"209","22nd",39
"210","cuts",39
"211","enjoyed",39
"212","reform",39
"213","taxes",39
"214","wednesday",39
"215","words",39
"216","lots",38
"217","rapper",38
"218","sweet",38
"219","brother",37
"220","christian",37
"221","folks",37
"222","happiness",37
"223","note",37
"224","tonight",37
"225","cute",36
"226","ka",36
"227","pleasure",36
"228","shit",36
"229","songs",36
"230","4th",35
"231","ang",35
"232","fabulous",35
"233","fine",35
"234","giving",35
"235","local",35
"236","parents",35
"237","pretty",35
"238","smile",35
"239","start",35
"240","cheer",34
"241","christ",34
"242","di",34
"243","lady",34
"244","lunch",34
"245","radio",34
"246","super",34
"247","thankyou",34
"248","thursday",34
"249","visit",34
"250","watching",34
"251","25th",33
"252","album",33
"253","excited",33
"254","filled",33
"255","godbless",33
"256","haha",33
"257","join",33
"258","republicans",33
"259","vote",33
"260","white",33
"261","3rd",32
"262","absolutely",32
"263","bad",32
"264","busy",32
"265","google",32
"266","lord",32
"267","told",32
"268","tuesday",32
"269","future",31
"270","hoping",31
"271","meet",31
"272","poor",31
"273","talk",31
"274","ur",31
"275","bit",30
"276","filthy",30
"277","forget",30
"278","hate",30
"279","hell",30
"280","late",30
"281","makes",30
"282","message",30
"283","set",30
"284","spend",30
"285","added",29
"286","din",29
"287","fellow",29
"288","game",29
"289","girl",29
"290","listening",29
"291","past",29
"292","shopping",29
"293","sign",29
"294","brilliant",28
"295","entire",28
"296","fan",28
"297","final",28
"298","gonna",28
"299","ladies",28
"300","massive",28
"301","missed",28
"302","picture",28
"303","playlist",28
"304","sings",28
"305","snow",28
"306","st",28
"307","amen",27
"308","celebrating",27
"309","feeling",27
"310","im",27
"311","link",27
"312","list",27
"313","month",27
"314","period",27
"315","photo",27
"316","red",27
"317","rock",27
"318","story",27
"319","translate",27
"320","warm",27
"321","won",27
"322","bought",26
"323","car",26
"324","club",26
"325","colleagues",26
"326","dude",26
"327","guess",26
"328","head",26
"329","insurance",26
"330","keeping",26
"331","officially",26
"332","opportunity",26
"333","pa",26
"334","pic",26
"335","pics",26
"336","store",26
"337","success",26
"338","tweets",26
"339","afternoon",25
"340","agree",25
"341","brendon",25
"342","cool",25
"343","crew",25
"344","deserve",25
"345","dr",25
"346","found",25
"347","guy",25
"348","jeremih",25
"349","lost",25
"350","mate",25
"351","meeting",25
"352","obama",25
"353","peaceful",25
"354","sad",25
"355","voted",25
"356","war",25
"357","winter",25
"358","8th",24
"359","church",24
"360","closing",24
"361","dad",24
"362","daughter",24
"363","didn",24
"364","excellent",24
"365","extra",24
"366","fam",24
"367","girls",24
"368","greeting",24
"369","mike",24
"370","return",24
"371","services",24
"372","son",24
"373","wanna",24
"374","winner",24
"375","ambidextrous",23
"376","arrived",23
"377","ate",23
"378","btw",23
"379","city",23
"380","congress",23
"381","desk",23
"382","drink",23
"383","grateful",23
"384","helping",23
"385","history",23
"386","hugs",23
"387","loves",23
"388","mixtape",23
"389","nation",23
"390","pero",23
"391","players",23
"392","saturday",23
"393","social",23
"394","started",23
"395","animals",22
"396","chris",22
"397","click",22
"398","company",22
"399","finished",22
"400","incredible",22
"401","loving",22
"402","moment",22
"403","nadal",22
"404","partners",22
"405","pass",22
"406","pupils",22
"407","town",22
"408","tv",22
"409","uk",22
"410","update",22
"411","'merry",21
"412","behalf",21
"413","bye",21
"414","called",21
"415","carol",21
"416","couple",21
"417","cover",21
"418","dead",21
"419","disc",21
"420","donated",21
"421","hehe",21
"422","idea",21
"423","minute",21
"424","mix",21
"425","movie",21
"426","ms",21
"427","noon",21
"428","paul",21
"429","potus",21
"430","pray",21
"431","prayer",21
"432","reading",21
"433","republican",21
"434","road",21
"435","run",21
"436","shout",21
"437","sounds",21
"438","strong",21
"439","sunday",21
"440","thankful",21
"441","women",21
"442","year's",21
"443","yesterday",21
"444","1st",20
"445","adv",20
"446","appreciated",20
"447","book",20
"448","continued",20
"449","customer",20
"450","eat",20
"451","fake",20
"452","funny",20
"453","government",20
"454","grade",20
"455","heard",20
"456","jobs",20
"457","means",20
"458","mom",20
"459","phone",20
"460","ps",20
"461","reopen",20
"462","spending",20
"463","star",20
"464","stuff",20
"465","supporters",20
"466","talking",20
"467","thinking",20
"468","truth",20
"469","usa",20
"470","weekend",20
"471","wife",20
"472","ago",19
"473","black",19
"474","blog",19
"475","boy",19
"476","bro",19
"477","damn",19
"478","dan",19
"479","dems",19
"480","donors",19
"481","drive",19
"482","email",19
"483","enjoying",19
"484","everyday",19
"485","facebook",19
"486","giveaway",19
"487","gorgeous",19
"488","hand",19
"489","hat",19
"490","hot",19
"491","issue",19
"492","james",19
"493","kiss",19
"494","liberals",19
"495","mas",19
"496","mine",19
"497","months",19
"498","omg",19
"499","patients",19
"500","putin",19
"501","reply",19
"502","sale",19
"503","sick",19
"504","singing",19
"505","speak",19
"506","sweetie",19
"507","tayo",19
"508","waiting",19
"509","website",19
"510","worth",19
"511","26th",18
"512","app",18
"513","boys",18
"514","buddy",18
"515","center",18
"516","david",18
"517","deserved",18
"518","dream",18
"519","gotta",18
"520","grace",18
"521","happened",18
"522","helped",18
"523","ingat",18
"524","kita",18
"525","leave",18
"526","line",18
"527","low",18
"528","lucky",18
"529","mark",18
"530","prayers",18
"531","reminder",18
"532","save",18
"533","signing",18
"534","sing",18
"535","single",18
"536","successful",18
"537","suppliers",18
"538","teachers",18
"539","tune",18
"540","voice",18
"541","weeks",18
"542","word",18
"543","wrong",18
"544","ako",17
"545","animal",17
"546","band",17
"547","bank",17
"548","catch",17
"549","classic",17
"550","comments",17
"551","continue",17
"552","county",17
"553","daily",17
"554","darling",17
"555","die",17
"556","economy",17
"557","elves",17
"558","event",17
"559","fire",17
"560","half",17
"561","hearing",17
"562","kindness",17
"563","light",17
"564","living",17
"565","north",17
"566","park",17
"567","photos",17
"568","plan",17
"569","played",17
"570","prize",17
"571","public",17
"572","quick",17
"573","received",17
"574","relief",17
"575","ryan",17
"576","sending",17
"577","south",17
"578","spread",17
"579","stand",17
"580","sweater",17
"581","text",17
"582","till",17
"583","tom",17
"584","vacation",17
"585","version",17
"586","woman",17
"587","yay",17
"588","yung",17
"589","21st",16
"590","ana",16
"591","charity",16
"592","coach",16
"593","crazy",16
"594","deal",16
"595","decided",16
"596","dinner",16
"597","dog",16
"598","edition",16
"599","en",16
"600","eric",16
"601","fab",16
"602","feels",16
"603","green",16
"604","hahahaha",16
"605","healthcare",16
"606","historic",16
"607","kim",16
"608","london",16
"609","mary",16
"610","millions",16
"611","mind",16
"612","natale",16
"613","opinion",16
"614","passes",16
"615","paying",16
"616","pm",16
"617","positive",16
"618","praying",16
"619","reason",16
"620","sana",16
"621","sister",16
"622","soul",16
"623","teams",16
"624","tho",16
"625","train",16
"626","treat",16
"627","understand",16
"628","west",16
"629","writing",16
"630","5pm",15
"631","act",15
"632","air",15
"633","bc",15
"634","believing",15
"635","biggest",15
"636","bon",15
"637","born",15
"638","box",15
"639","bringing",15
"640","buon",15
"641","cancer",15
"642","changed",15
"643","chocolate",15
"644","cold",15
"645","delivered",15
"646","door",15
"647","due",15
"648","earth",15
"649","el",15
"650","elf",15
"651","experience",15
"652","faith",15
"653","hit",15
"654","hospital",15
"655","joe",15
"656","joke",15
"657","jolly",15
"658","lahat",15
"659","law",15
"660","mag",15
"661","market",15
"662","mates",15
"663","matt",15
"664","michael",15
"665","missing",15
"666","package",15
"667","peter",15
"668","power",15
"669","ppl",15
"670","putting",15
"671","receiving",15
"672","released",15
"673","santa's",15
"674","seasons",15
"675","short",15
"676","shut",15
"677","street",15
"678","telling",15
"679","tickets",15
"680","trust",15
"681","um",15
"682","york",15
"683","ahead",14
"684","aww",14
"685","blessing",14
"686","boxing",14
"687","broke",14
"688","career",14
"689","claus",14
"690","complete",14
"691","corporations",14
"692","credit",14
"693","delivery",14
"694","democrats",14
"695","deo",14
"696","donation",14
"697","dont",14
"698","easy",14
"699","education",14
"700","efforts",14
"701","favourite",14
"702","fight",14
"703","form",14
"704","fulfilling",14
"705","generous",14
"706","god's",14
"707","inspiration",14
"708","jewish",14
"709","joining",14
"710","leader",14
"711","library",14
"712","lie",14
"713","lifeline",14
"714","lights",14
"715","literally",14
"716","magic",14
"717","matter",14
"718","memories",14
"719","million",14
"720","newsletter",14
"721","paid",14
"722","pls",14
"723","primary",14
"724","pro",14
"725","round",14
"726","secret",14
"727","sends",14
"728","stupid",14
"729","tips",14
"730","toy",14
"731","trap",14
"732","ty",14
"733","ugly",14
"734","visited",14
"735","visiting",14
"736","wine",14
"737","wished",14
"738","worry",14
"739","worse",14
"740","27th",13
"741","adorable",13
"742","bloody",13
"743","blue",13
"744","books",13
"745","change",13
"746","checkers",13
"747","delicious",13
"748","eh",13
"749","evening",13
"750","events",13
"751","extend",13
"752","flight",13
"753","forever",13
"754","fox",13
"755","freaking",13
"756","hearts",13
"757","hour",13
"758","hug",13
"759","human",13
"760","included",13
"761","joyeux",13
"762","joyous",13
"763","king",13
"764","lives",13
"765","lying",13
"766","mandate",13
"767","met",13
"768","military",13
"769","minutes",13
"770","move",13
"771","mum",13
"772","naman",13
"773","page",13
"774","personally",13
"775","police",13
"776","prince",13
"777","robert",13
"778","rosie",13
"779","royal",13
"780","savior",13
"781","scott",13
"782","senate",13
"783","seniors",13
"784","shop",13
"785","shot",13
"786","sound",13
"787","space",13
"788","spent",13
"789","starting",13
"790","style",13
"791","supporting",13
"792","teacher",13
"793","ticket",13
"794","tiny",13
"795","training",13
"796","view",13
"797","walk",13
"798","watched",13
"799","wealthy",13
"800","weihnachten",13
"801","xoxo",13
"802","23rd",12
"803","agenda",12
"804","annual",12
"805","answer",12
"806","art",12
"807","awww",12
"808","ba",12
"809","begin",12
"810","bells",12
"811","boss",12
"812","bottom",12
"813","brings",12
"814","brought",12
"815","building",12
"816","carpenters",12
"817","cathy's",12
"818","centre",12
"819","child",12
"820","choir",12
"821","college",12
"822","da",12
"823","elementary",12
"824","english",12
"825","exciting",12
"826","eye",12
"827","eyes",12
"828","fast",12
"829","festivities",12
"830","forgot",12
"831","fuckin",12
"832","games",12
"833","hair",12
"834","hold",12
"835","ice",12
"836","jail",12
"837","joyful",12
"838","kevin",12
"839","kid",12
"840","laughter",12
"841","lose",12
"842","loud",12
"843","mga",12
"844","mother",12
"845","natal",12
"846","naughty",12
"847","ni",12
"848","normal",12
"849","offer",12
"850","official",12
"851","pick",12
"852","piece",12
"853","plans",12
"854","podcast",12
"855","potential",12
"856","praise",12
"857","promise",12
"858","respect",12
"859","schools",12
"860","semester",12
"861","sexy",12
"862","signed",12
"863","simply",12
"864","spreading",12
"865","step",12
"866","stock",12
"867","straight",12
"868","student",12
"869","studio",12
"870","surprise",12
"871","teach",12
"872","tears",12
"873","texas",12
"874","thx",12
"875","til",12
"876","tim",12
"877","tis",12
"878","touch",12
"879","victory",12
"880","volunteers",12
"881","write",12
"882","advent",11
"883","attention",11
"884","bob",11
"885","bonus",11
"886","breaking",11
"887","campaign",11
"888","candy",11
"889","chicken",11
"890","coal",11
"891","comment",11
"892","concert",11
"893","correct",11
"894","council",11
"895","department",11
"896","design",11
"897","devo",11
"898","donate",11
"899","driving",11
"900","dubstep",11
"901","earlier",11
"902","edm",11
"903","energy",11
"904","eu",11
"905","excel",11
"906","fill",11
"907","freedom",11
"908","front",11
"909","generosity",11
"910","hun",11
"911","ideas",11
"912","including",11
"913","international",11
"914","ipad's",11
"915","isn",11
"916","jam",11
"917","kwanzaa",11
"918","lawrence",11
"919","lee",11
"920","limited",11
"921","mad",11
"922","mall",11
"923","messages",11
"924","mi",11
"925","miracle",11
"926","muslim",11
"927","pal",11
"928","passing",11
"929","patriots",11
"930","pc",11
"931","performance",11
"932","phil",11
"933","raised",11
"934","realize",11
"935","receive",11
"936","reindeer",11
"937","retweet",11
"938","sarah",11
"939","smart",11
"940","stress",11
"941","tag",11
"942","travels",11
"943","troops",11
"944","united",11
"945","usual",11
"946","weird",11
"947","winners",11
"948","wisdom",11
"949","workers",11
"950","worst",11
"951","yall",11
"952","ye",11
"953","youtube",11
"954","20th",10
"955","24th",10
"956","account",10
"957","asshole",10
"958","beat",10
"959","beauty",10
"960","birth",10
"961","bitch",10
"962","board",10
"963","brothers",10
"964","bunch",10
"965","businesses",10
"966","cabinet",10
"967","cars",10
"968","carson",10
"969","ceo",10
"970","chat",10
"971","competition",10
"972","conservative",10
"973","continues",10
"974","cookies",10
"975","corrupt",10
"976","dance",10
"977","difference",10
"978","discount",10
"979","dm",10
"980","doesn",10
"981","donations",10
"982","download",10
"983","employees",10
"984","fat",10
"985","father",10
"986","fav",10
"987","fresh",10
"988","goodluck",10
"989","guitar",10
"990","happening",10
"991","hoe",10
"992","husband",10
"993","info",10
"994","injuries",10
"995","jeff",10
"996","journey",10
"997","kindly",10
"998","kisses",10
"999","kuya",10
"1000","laugh",10
"1001","learn",10
"1002","learning",10
"1003","likes",10
"1004","lmao",10
"1005","looked",10
"1006","lower",10
"1007","lyrics",10
"1008","magazine",10
"1009","maging",10
"1010","manager",10
"1011","paper",10
"1012","personal",10
"1013","pictures",10
"1014","pleased",10
"1015","politically",10
"1016","pre",10
"1017","precious",10
"1018","prosperity",10
"1019","quality",10
"1020","question",10
"1021","recovery",10
"1022","relax",10
"1023","retail",10
"1024","roll",10
"1025","rose",10
"1026","san",10
"1027","sat",10
"1028","sense",10
"1029","shipping",10
"1030","shirt",10
"1031","silver",10
"1032","sit",10
"1033","stocking",10
"1034","stopped",10
"1035","takes",10
"1036","test",10
"1037","tired",10
"1038","totally",10
"1039","toys",10
"1040","traditional",10
"1041","trip",10
"1042","und",10
"1043","wake",10
"1044","wasn",10
"1045","water",10
"1046","william",10
"1047","worries",10
"1048","yo",10
"1049","yrs",10
"1050","9am",9
"1051","adam",9
"1052","angel",9
"1053","anne",9
"1054","approval",9
"1055","aren",9
"1056","ben",9
"1057","brand",9
"1058","brave",9
"1059","brown",9
"1060","buddies",9
"1061","bullshit",9
"1062","cake",9
"1063","california",9
"1064","cast",9
"1065","cat",9
"1066","celebration",9
"1067","channel",9
"1068","choice",9
"1069","coffee",9
"1070","crying",9
"1071","dark",9
"1072","decorations",9
"1073","deplorables",9
"1074","details",9
"1075","dick",9
"1076","dropping",9
"1077","eating",9
"1078","em",9
"1079","exist",9
"1080","expect",9
"1081","fb",9
"1082","february",9
"1083","film",9
"1084","flying",9
"1085","football",9
"1086","foundation",9
"1087","friendly",9
"1088","frohe",9
"1089","fund",9
"1090","gang",9
"1091","gold",9
"1092","hands",9
"1093","happen",9
"1094","haven",9
"1095","heading",9
"1096","hihi",9
"1097","holy",9
"1098","honest",9
"1099","inside",9
"1100","jah",9
"1101","jenny",9
"1102","jingle",9
"1103","kayo",9
"1104","kitchen",9
"1105","knowing",9
"1106","leadership",9
"1107","leaving",9
"1108","letting",9
"1109","liberal",9
"1110","llawen",9
"1111","mail",9
"1112","major",9
"1113","meant",9
"1114","mini",9
"1115","mood",9
"1116","nadolig",9
"1117","necklace",9
"1118","network",9
"1119","niyo",9
"1120","offended",9
"1121","orange",9
"1122","original",9
"1123","palagi",9
"1124","patriot",9
"1125","planet",9
"1126","player",9
"1127","plenty",9
"1128","project",9
"1129","promises",9
"1130","protect",9
"1131","readers",9
"1132","retweets",9
"1133","review",9
"1134","reward",9
"1135","running",9
"1136","sales",9
"1137","scam",9
"1138","screw",9
"1139","screwed",9
"1140","security",9
"1141","senator",9
"1142","senior",9
"1143","shame",9
"1144","standing",9
"1145","steve",9
"1146","stream",9
"1147","sun",9
"1148","sya",9
"1149","target",9
"1150","today's",9
"1151","tradition",9
"1152","treats",9
"1153","upcoming",9
"1154","van",9
"1155","videos",9
"1156","voters",9
"1157","wealth",9
"1158","wise",9
"1159","wrapping",9
"1160","xxxx",9
"1161","yep",9
"1162","'tis",8
"1163","5th",8
"1164","add",8
"1165","al",8
"1166","alan",8
"1167","andy",8
"1168","approaching",8
"1169","asian",8
"1170","assembly",8
"1171","babe",8
"1172","boo",8
"1173","boom",8
"1174","broken",8
"1175","c'est",8
"1176","calling",8
"1177","cats",8
"1178","charles",8
"1179","charlie",8
"1180","chloe",8
"1181","choose",8
"1182","citizens",8
"1183","clip",8
"1184","code",8
"1185","collection",8
"1186","commitment",8
"1187","conversation",8
"1188","cookie",8
"1189","count",8
"1190","cousin",8
"1191","deals",8
"1192","debt",8
"1193","deliver",8
"1194","difficult",8
"1195","dogs",8
"1196","dreams",8
"1197","drivers",8
"1198","dropped",8
"1199","earned",8
"1200","east",8
"1201","ed",8
"1202","express",8
"1203","fave",8
"1204","felices",8
"1205","fiestas",8
"1206","fingers",8
"1207","finish",8
"1208","focus",8
"1209","gals",8
"1210","george",8
"1211","gl",8
"1212","golf",8
"1213","grinch",8
"1214","handed",8
"1215","handing",8
"1216","headed",8
"1217","helps",8
"1218","holly",8
"1219","homes",8
"1220","hs",8
"1221","idiot",8
"1222","idk",8
"1223","information",8
"1224","involved",8
"1225","items",8
"1226","jason",8
"1227","jennifer",8
"1228","judge",8
"1229","kahit",8
"1230","kill",8
"1231","kinda",8
"1232","lagi",8
"1233","lauren",8
"1234","legal",8
"1235","lew",8
"1236","lips",8
"1237","lisa",8
"1238","lit",8
"1239","losing",8
"1240","marketing",8
"1241","martin",8
"1242","meaning",8
"1243","mince",8
"1244","moments",8
"1245","movies",8
"1246","moving",8
"1247","nako",8
"1248","nhs",8
"1249","obamacare",8
"1250","officers",8
"1251","outstanding",8
"1252","pag",8
"1253","pantyhose",8
"1254","para",8
"1255","partner",8
"1256","pastor",8
"1257","piggy",8
"1258","pocket",8
"1259","pockets",8
"1260","posting",8
"1261","powerful",8
"1262","pres",8
"1263","price",8
"1264","pride",8
"1265","program",8
"1266","provide",8
"1267","pulisic",8
"1268","queen",8
"1269","quickly",8
"1270","raising",8
"1271","raphael",8
"1272","recent",8
"1273","record",8
"1274","relaxing",8
"1275","removed",8
"1276","residents",8
"1277","restful",8
"1278","richard",8
"1279","sam",8
"1280","sayo",8
"1281","scooter",8
"1282","scrooge",8
"1283","selfie",8
"1284","series",8
"1285","si",8
"1286","sis",8
"1287","sold",8
