,name,description
1,Rico Garcia,"Christ Follower. † XII.XVI.XVII | Colorado Rockies Organization | Oahu, Hawaii | Gaeta Sports Management | IG:@reekohsuave | Proverbs 3:5-6"
2,Jamori Blash,"""I can do all things through Christ who strengthens me"" Philippians 4:13 https://t.co/mj3x7ytocY"
3,Alex Maloney,Chicago White Sox Organization| Ball State U| Joshua 1:9|
4,Tyler Mondile,"Do what you love, love what you do|Romans 8:28|@Reds Organization|@BallengeeGroup|God First|"
5,Will Benson,Faith-filled living to serve <f0><U+009F><U+0099><U+008F><f0><U+009F><U+008F><U+00BC> everything is K O S H E R | ''The power within'' -SpongeBob.                   Jer 29:11
6,Alex Farina,Proverbs 3:5-6<U+271E>
7,Alex Kirilloff,"“And whatever you do work at it with all your heart, as for the Lord and not for mankind” Colossians 3:23 |Minnesota Twins Organization|"
8,Steven Souza Jr.,"Love Jesus, husband, father, some call it Hard Work, I call it Worship. Matthew 6:33"
9,Corban Joseph,"believer, husband to Emery Joseph, have two wonderful baby girls, Professional baseball player for nationals, waterfowl hunter. psalm 46:1"
10,Riley Delgado,Atlanta Braves organization | Saved by grace through faith | Joshua 1:9 | CSTATE & MTSU Alum
11,Scooter Gennett,Ball Player for the Cincinnati Reds <U+26BE><U+FE0F> Play for him <f0><U+009F><U+0099><U+008F>1 John 4:7| @sgennett2 Instagram <f0><U+009F><U+0087><U+00BA><f0><U+009F><U+0087><U+00B8>
12,Mason Martin,Phil 4:13 | Professional baseball player in the Pirates Organization | Snap: masonmartin723
13,Camden Duzenack,Arizona Diamondbacks || Dallas Baptist Alum || Galatians 2:20 ||
14,Denny Brady,Isaiah 40:8 / pitcher for the Los Angeles Angels organization
15,Logan Ice,Catcher in the Cleveland Indians Organization. Oregon State Baseball. Psalms 37:5
16,MVB,God 1st | Right-Handed Pitcher in the Royals Organization | Proverbs 3:5 | Ballengee Group | SC<U+2708><U+FE0F>AZ
17,Steven Matz,"LI native living my dream playing ball for the Mets. Love Family, Baseball, & Being Outdoors. 1 Thessalonians 4:11-12"
18,Rajai Davis,"The offical twitter account of Rajai Davis, Husband, Father of 2 and God has pleasure in the prosperity of His Servant. Psalms 35:27"
19,Nathan Rodriguez,Catcher in the Milwaukee Brewers Organization. Philippians 4:13 / With God All Things Are Possible <f0><U+009F><U+0099><U+008C><f0><U+009F><U+008F><U+00BD> live for the moment and follow the good vibes <f0><U+009F><U+00A4><U+0099><f0><U+009F><U+008F><U+00BD>
20,Trevor Oaks,Pitcher in the KC Royals Organization R 12:1-2
21,tyler ivey,Isaiah 41:13| Astros| Grayson alum
22,Joe Barlow†,Lover of Christ. Pitcher in the Texas Rangers Organization. SLCC alumni IG & SC: Joebarlow8 Isaiah 41:10<U+2671>
23,Cy Sneed,"I love my smokin hot wife, a lot.          Genesis 27:3, Romans 6:23.               Member of Houston Astros org. Represented by @SosnickCobbe"
24,Jacob Esch,Isaiah 41:10 Pitcher San Diego Padres @NokonaBaseball
25,Cj Edwards,The official twitter page of CJ Edwards...Chicago Cubs Major League Pitcher..Follow me on IG edwardskiid Philippians 4:13 Love of my life A.K.S
26,Buck,Outfielder For Minnesota Twins! South Georgia kid pursuing his dream! Proud Father and Husband! God First! Blessed! Psalms 37:4!
27,Willie Bloomquist,"Love being a Daddy and Husband to the best family in the world. Love Jesus, Hunting, and Fishing....Phil 4:13"
28,J Lee Valdespina,Pitcher in the Colorado Rockies organization <U+26BE><U+FE0F> #RTS #NJ | Phil 4:13
29,†Anff™,"Through Him; With Him; In Him<f0><U+009F><U+0095><U+008A>God's Glory<f0><U+009F><U+0095><U+008A>| Luke 1:37| Ask;Seek;Knock| Atlanta Braves Organization <U+26BE><U+FE0F> | Nassau,Bahamas<f0><U+009F><U+0087><U+00A7><f0><U+009F><U+0087><U+00B8>"
30,Austin Krzeminski<U+26BE>,||isaiah 40:31|| professional baseball player in the Angels organization
31,Justin Anderson,God Fearing Athlete/Thrower for the Los Angeles Angels organization/UTSA Alum/Matthew 23:12
32,Hanser Alberto,¡Latino America Despierta!\\ siervo de Cristo\\ Orgulloso de Ser Dominicano\\ Habacuc 3:17:18\\ San Fco De Macoris <U+26BE><U+FE0F>056<U+26BE><U+FE0F>
33,Nate Pearson,Toronto Blue Jays <U+26BE><U+FE0F><f0><U+009F><U+0087><U+00A8><f0><U+009F><U+0087><U+00A6> | Compete for him | James 1:12 | Follower of Christ | @cfpats and @HurricaneBaseb alumnus | @excelsm insta: bignate5
34,Kyle Johnston,"RHP Washington Nationals Organization/UT Baseball Alumni ""Set your goals high and don't stop till you get there"" -Bo Jackson #FBL Psalms 89:13"
